,"Canonical Research on Bitcoin Scalability Solutions from Gen 1 to Gen 4
Maintained by: @pccayaan Pumpkeen Latte, Chief Scientist at Tachi",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,REVISION: v0.0.5 - 24.05.2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"GEN 4
(Metaprotocols, Proof Aggregators, Statechains, Privacy Enhancers)",,,,"GEN 3
(Rollups / Zones)",,,,,"GEN 2
(Sidechains / L2 Blockchains)",,,,"GEN 1
(Payment Channels)"
,"Tachi
(https://tachibtc.com/)","Payjoin
(https://payjoin.org/)","Ark 
(https://arklabs.to/)","Erk 
(https://docs.second.tech/protocol/intro/)",Babylon,Merlin,"Bitlayer
(https://www.bitlayer.org/)","BitcoinOS
(https://www.bitcoinos.build/)",CoreDAO,"Arch 
(https://www.arch.network/)",Stacks,Rootstock,"Liquid
(https://liquid.net/)","Lightning
(https://lightning.network/)"
"Use cases
What can I use it for?","P2P Payments

Agentic Payments

Stablecoins

RWA: BRC-20 Tokens, Bonds

DeFi: Lending, and DEX

SocFi: Nostr CDN & Zaps

Institutional Compliant Asset Movement (like Liquid for Exchanges)

Insurance & Vaults for theft prevention and remedies",Private P2P Payments,Secure & Instant P2P Payments,Secure & Instant P2P Payments,"Staking

Restaking

Cross-chain security

Decentralized Timestamping","DeFi:

BRC-20 

Ordinals

Bridge BTC to other ecos","BRC-20 issuance

NFTs

Cross-chain bridging

DeFi: DEX, lending

Use EVM dApps",Rollups on Bitcoin for Smart Contracts,"Yield Farming

DEX

Lending & Borrowing

Bridge BTC via CORE to other chains

NFT

Gaming","Payments

DeFi: DEX, AMM, LPs

Stablecoins","DeFi apps

Gaming apps

NFT marketplaces

Social Media apps

Web3 Identity solution (Bitcoin Naming Service)","Staking through locking BTC and creating RSK

Use BTC as collateral for various DeFi applications

Create NFTs","Exchange-to-Exchange transfers

Confidential P2P tranasctions

Asset Issuance & Trading

Lend BTC to DeFi apps","Peer to Peer Payments

Online subscriptions"
"Onboarding Liquidity
How do I lock or transfer liquidity?","Funds from your wallet is locked in a 2-of-2 Multisig with an absolute timelock. 1 key governed by you. Another key is an Aggregated key governed by 100 nodes who randomly revolve among 300 other nodes, with a quorum of 51 keys need at the time of unlock. Each of the node involved is a Bitcoin Full Node.

No reliance on a single server or a counterparty, nor a reliance on ""few"" fiduciaries. Truly random. Unidirectional exit. Bitcoin Full Nodes only i.e., Bitcoin-native.","Sender and receiver can update an existing transaction with their inputs before sending it to mempool using the P2EP (Pay to End Point) address.

The only issue here is that both sender and receiver must be online.","Users lock their funds into a Server with an arbitrary timelock value. Although the Ark Server is advertised as not centralised, more is to be learnt about how safe and secure the funds are from the third parties involved in the lock.

Users have the provision to exit either unilaterally based on timelock expiration or collaboratively with the Ark Server.","Users lock their Sats with ASP (Ark Service Provider) with a timelock. Expiry can be renewed by swapping it with a new VTXO. Funds are locked in a N-of-N multisig where EACH client is requested to sign before ASP can spend the funds. This means, each client has a veto power.

Users can off-board their liquidity either unilaterally through the client creating an on-chain footprint or co-operatively through an ASP creating smaller on-chain footprint, after exchanging hands with parties on the L2.",,,"Funds in a BTC Wallet need to be locked on the Bitcoin Mainnet through a Bitlayer Bridge.

Once locked, a 1:1 pegged BTC is issued on the Bitlayer rollup.

The Bridge is implemented using BitVM and introduces a lot of trust assumptions.","Users need to deposit their Sats through a Grail bridge into a Taproot asset address which uses a Musig2 scheme tying down all network operators, instead of using scriptless Threshold signatures before locking these user assets.

The rationale behind this design decision is a trust assumption on the honest behavior of node operators. This is opposite to the goals of trustless web vision of Cypherpunks.

Additionally, assets deposited into the bridge is locked and minted on the other side. Which means, the assets are not as native and could risk with disparity between Mints and Burns of Sats.

Finally, BitcoinOS explicitly states in the Whitepaper that Unilateral withdrawal will NOT be supported.",,"Sats are locked in an ""advanced"" cryptographic Multisig using FROST + ROAST.

FROST is essentially a round-robin of signature generation to prevent lockups. But not based on Musig, hence not native.

So, Arch's ROAST, a better derivative of FORST - is a 51% quorum on the Multisig, but still not based on Musig. So, not as native. Also, they don't guarantee unilateral exits - they just claim to reduce the overall risks from lockups.",,,"Deposit BTC into a multisig maintined by the Liquid Federation.

Your BTC is locked on chain to mint a 1:1 pegged L-BTC asset on the Liquid Sidechain.

This introduces a lot of trust assumptions on the federation entities (only 15).","Create a 2-of-2 Multisig address with timelocks and unliateral exit for both peers.

Deposit BTC into this new address to spend your BTC offchain.

While there are minimal trust assumptions (counterparty delinquency to close the channel on time), there is no trust assumption on a 3rd party."
"Wallet compatiblity
Can I continue to use my existing wallet after onboarding liquidity?","Any wallet supporting Tapscripts on Bitcoin shall be used to onboard as well as interact with others on Tachi.

No need for multiple wallets, as everything in Tachi is Sat-denominated. Truly Bitcoin-native.","Only few wallets like BTC Pay Server, Bull Bitcoin and Wasabi support Payjoin at the moment and some integrations are not neccessarily available across both Bitcoin as well as Lightning.","Ark uses P2TR addresses (Tapscripts) so any Wallet supporting Taproot should be good to go. While the output script is a P2TR, Ark's own addresses are not Bitcoin native. 

However, currently only Ark CLI is supported.","Currently, Erk helps you create a wallet on their bark CLI and there is no known source to confirm whether they intend to support regular bitcoin wallets.",,,"No. 

Special Wallet compatible with BitVM implementation must be used, such as the Unisat wallet.

Additionally, Bitlayer also supports EVM wallets such as MetaMask, OKX Wallet, and Bitget.

Options to interact with Bitlayer are limited, forcing you to setup a new wallet.","While depositing assets to the bridge is made possible with any Taproot supporting Wallet, further use of the assets on BitcoinOS may require other wallets since the assets are no longer native. 

For example, an EVM Rollup on BitcoinOS would need the user to manage another wallet in addition to the Bitcoin wallet to experience the functionalities in the Rollup.",,"Users can use any Bitcoin wallets that support Taproot Assets.

This ensures that users are not pushed away from their habitual access point to their Sats, which is good - obviously.

However, they also mention ""Optimized UTXOs with a Special Accounts model"". This does not bode well with most of the Bitcoin Native apps that can only implement UTXO - as - UTXO.",,,"Blockstream Green: A popular non-custodial wallet that supports peg-in and peg-out operations, as well as sending and receiving L-BTC and other Liquid assets. It offers a user-friendly interface and multi-signature security. 

Liquid Desktop Wallet: Developed by Blockstream, this wallet provides full Liquid sidechain functionality, including peg-in/out and confidential asset transfers. 

Sparrow Wallet: A Bitcoin wallet that also supports Liquid, allowing users to manage L-BTC and peg funds from Bitcoin mainnet. 

BlueWallet: Offers Liquid support with peg-in/out features and Liquid asset management alongside Bitcoin.","YES. You can use the same wallet.

Muun Wallet (non-custodial, supports both on-chain and Lightning) 

Breez Wallet (non-custodial, mobile Lightning node) 

Zap Wallet (non-custodial, desktop and mobile) 

Electrum (advanced, non-custodial)"
"Offchain Consensus
How is my off-chain spend settled so quickly?","Every VTXO spent via Tachi is accompanied by a Shadow Proof (new ZKP based on Hash Accumulation, used in Utreexo).

Bitcoin Full nodes (running the Tachi metaprotocol client alongside) validate the spend based on the same ruleset as that of the Bitcoin Protocol, and adds it to the Round(where other valid transactions accompanied by their respective shadow proofs are also aggregated into a Recursive Inclusion Proof) almost immediately.

There is no need for dispute window since the rulesets are directly implemented from the Bitcoin Full Node running the latest Bitcoin Client. So, it is as final as being canonically final on Bitcoin Mainnet.","Similar to Lightning's Payment Channels, off-chain transactions are based on Mutual Agreement with no commitments and no 3rd Party would be involved in between the sender and the receiver.","First things first - In the case of Ark, VTXO is not a mirroed/indexed version of the UTXO on the Bitcoin Mainnet. It is similar to Erk's interpretation of VTXO which is also a node in the VTXO tree representing a share of the user's Sats in a shared UTXO on the Bitcoin Mainnet with a Taproot output redeemable by respective users sharing the output.

Similar to Erk, Ark has a Server which leads the round, batches transactions, proposed the new state in the form of a VTXO tree that is verified and agreed by other nodes.","First things first - In the case of Erk, VTXO is not a mirroed/indexed version of the UTXO on the Bitcoin Mainnet, but a share of their Sats in the single UTXO committed to the Bitcoin Mainnet at the end of the round, which is different from Tachi's definition of a VTXO (actual user's UTXO offchain, and not shared with anyone else).

Exchange of hands are handled by the ASP by transferring VTXO from one user to another in a tree structure, and the taproot output (shared UTXO) is ready to be committed on chain paying the fees of a single transfer, while the tree entails multiple transfers and keeps track of who own how many Sats. As such, VTXO, Virtual Transaction Output is essentially a node in the transaction tree with presigned transaction confirming access to the funds of the receiver that can be claimed on-chain.

While this is a neat application of Merkle trees, the degree of (de)cenrtalisation of the ASP is still unknown.",,,"As a Rollup, a sequencer is involved to order and batch the transactions into a block, supported by BitVM's proof system almost immediately.

There is a window of 7 days to raise disputes.

If there are no disputes, the state root is published on the Bitcoin mainnet.

While immediate finality is great(borrowed from ETH2), reliance on the sequencer is not a good idea. Additionally, some users may require state root to be published on the Mainnet much earlier than 7 days(!!)","BitSNARK is a 3 operation based enhancement to the BitVM proposal that facilitates the proof genration and veriication using zkSNARKs.

Contracts on each Rollup commits proof and supporting data to Bitcoin through this mechanism.

Although SNARKs are non-interactive Zero Knowledge Proofs, they still rely on a Trusted Setup, which impedes large TVL accumulation and creates trust deficit among all parties about the integrity of the network.

While BitcoinOS has taken a few steps in detailing the node setup, this is still inadequate since the fundamental design remains unchanged.",,"Arch networks claims to achieve sub-second responsiveness through pre-confirmations. This is obviously a sidechain game with a new face on called DAGs (old tech).

Sec 4.1 of the Whitepaper confirms that Arch Network will maintain its own blockchain.

Additionally, Section 5.6 further complicates itself by offering ""soft-confirmation"", yet, remain open to state rollbacks based on Bitcoin state changes actively indexed from the mempool.

Their whole justification for using a DAG in their own blockchain - is that they rely on the state of another Blockchain - the Bitcoin Blockchain. This means, an invalid state can be easily updated without rolling back their entire sidechain.",,,"Blocktime of 1min.

Confirmation time of 2mins.

State maintained in its own Blockchain(sidechain) with each block encapsulating latest transactions. 

Blocks are signed and validated by Federated Notes with a ""strong consensus"".

Very subpar numbers compared to the current demands.","Each off chain spend by the user requires to be authorized by the user in the form of a signature. 

Upon spending, the balance distribution is updated in the channel.

Transactions are not broadcasted.

Cross-channel payments with counter-parties occur through HTLCs."
